uri,notation,label_en,label_sv
https://id.kb.se/term/uka/20105,,Transport Systems and Logistics,Transportteknik och logistik
https://id.kb.se/term/uka/20106,,Geotechnical Engineering,Geoteknik
https://id.kb.se/term/uka/20107,,Water Engineering,Vattenteknik
https://id.kb.se/term/uka/20108,,Environmental Analysis and  Construction Information Technology,Miljöanalys och bygginformationsteknik
https://id.kb.se/term/uka/20199,,Other Civil Engineering,Annan samhällsbyggnadsteknik
https://id.kb.se/term/uka/202,,"Electrical Engineering, Electronic Engineering, Information Engineering",Elektroteknik och elektronik
https://id.kb.se/term/uka/20201,,Robotics,Robotteknik och automation
https://id.kb.se/term/uka/20202,,Control Engineering,Reglerteknik
https://id.kb.se/term/uka/20203,,Communication Systems,Kommunikationssystem
https://id.kb.se/term/uka/20204,,Telecommunications,Telekommunikation
https://id.kb.se/term/uka/20205,,Signal Processing,Signalbehandling
https://id.kb.se/term/uka/20206,,Computer Systems,Datorsystem
https://id.kb.se/term/uka/20207,,Embedded Systems,Inbäddad systemteknik
https://id.kb.se/term/uka/20299,,"Other Electrical Engineering, Electronic Engineering, Information Engineering",Annan elektroteknik och elektronik
https://id.kb.se/term/uka/203,,Mechanical Engineering,Maskinteknik
https://id.kb.se/term/uka/20301,,Applied Mechanics,Teknisk mekanik
https://id.kb.se/term/uka/20302,,Aerospace Engineering,Rymd- och flygteknik
https://id.kb.se/term/uka/20303,,Vehicle Engineering,Farkostteknik
https://id.kb.se/term/uka/20304,,Energy Engineering,Energiteknik
https://id.kb.se/term/uka/20305,,Reliability and Maintenance,Tillförlitlighets- och kvalitetsteknik
https://id.kb.se/term/uka/20306,,Fluid Mechanics and Acoustics,Strömningsmekanik och akustik
https://id.kb.se/term/uka/20307,,"Production Engineering, Human Work Science and Ergonomics","Produktionsteknik, arbetsvetenskap och ergonomi"
https://id.kb.se/term/uka/20308,,"Tribology (interacting surfaces including Friction, Lubrication and Wear)","Tribologi (ytteknik omfattande friktion, nötning och smörjning)"
https://id.kb.se/term/uka/20399,,Other Mechanical Engineering,Annan maskinteknik
https://id.kb.se/term/uka/204,,Chemical Engineering,Kemiteknik
https://id.kb.se/term/uka/20401,,Chemical Process Engineering,Kemiska processer
https://id.kb.se/term/uka/20402,,Corrosion Engineering,Korrosionsteknik
https://id.kb.se/term/uka/20403,,Polymer Technologies,Polymerteknologi
https://id.kb.se/term/uka/20404,,Pharmaceutical Chemistry,Farmaceutisk synteskemi
https://id.kb.se/term/uka/20499,,Other Chemical Engineering,Annan kemiteknik
https://id.kb.se/term/uka/205,,Materials Engineering,Materialteknik
https://id.kb.se/term/uka/20501,,Ceramics,Keramteknik
https://id.kb.se/term/uka/20502,,Composite Science and Engineering,Kompositmaterial och -teknik
https://id.kb.se/term/uka/20503,,"Paper, Pulp and Fiber Technology","Pappers-, massa-  och fiberteknik"
https://id.kb.se/term/uka/20504,,"Textile, Rubber and Polymeric Materials","Textil-, gummi- och polymermaterial"
https://id.kb.se/term/uka/20505,,"Manufacturing, Surface and Joining Technology","Bearbetnings-, yt- och fogningsteknik"
https://id.kb.se/term/uka/20506,,Metallurgy and Metallic Materials,Metallurgi och metalliska material
https://id.kb.se/term/uka/20599,,Other Materials Engineering,Annan materialteknik
https://id.kb.se/term/uka/206,,Medical Engineering,Medicinteknik
https://id.kb.se/term/uka/20601,,Medical Laboratory and Measurements Technologies,Medicinsk laboratorie- och mätteknik
https://id.kb.se/term/uka/20602,,Medical Materials,Medicinsk material- och protesteknik
https://id.kb.se/term/uka/20603,,Medical Image Processing,Medicinsk bildbehandling
https://id.kb.se/term/uka/20604,,Medical Equipment Engineering,Medicinsk apparatteknik
https://id.kb.se/term/uka/20605,,Medical Ergonomics,Medicinsk ergonomi
https://id.kb.se/term/uka/20699,,Other Medical Engineering,Annan medicinteknik
https://id.kb.se/term/uka/207,,Environmental Engineering,Naturresursteknik
https://id.kb.se/term/uka/20701,,Geophysical Engineering,Geofysisk teknik
https://id.kb.se/term/uka/20702,,Energy Systems,Energisystem
https://id.kb.se/term/uka/20703,,Remote Sensing,Fjärranalysteknik
https://id.kb.se/term/uka/20704,,Mineral and Mine Engineering,Mineral- och gruvteknik
https://id.kb.se/term/uka/20705,,Marine Engineering,Marin teknik
https://id.kb.se/term/uka/20706,,Ocean and River Engineering,Havs- och vattendragsteknik
https://id.kb.se/term/uka/20707,,Environmental Management,Miljöledning
https://id.kb.se/term/uka/20799,,Other Environmental Engineering,Annan naturresursteknik
https://id.kb.se/term/uka/208,,Environmental Biotechnology,Miljöbioteknik
https://id.kb.se/term/uka/20801,,Bioremediation,Biosanering
https://id.kb.se/term/uka/20802,,Diagnostic Biotechnology,Diagnostisk bioteknologi
https://id.kb.se/term/uka/20803,,Water Treatment,Vattenbehandling
https://id.kb.se/term/uka/20804,,Bioethics,Bioteknisk etik
https://id.kb.se/term/uka/20899,,Other Environmental Biotechnology,Annan miljöbioteknik
https://id.kb.se/term/uka/209,,Industrial Biotechnology,Industriell bioteknik
https://id.kb.se/term/uka/20901,,Bioprocess Technology,Bioprocessteknik
https://id.kb.se/term/uka/20902,,Biochemicals,Biokemikalier
https://id.kb.se/term/uka/20903,,Bio Materials,Biomaterial
https://id.kb.se/term/uka/20904,,Bioenergy,Bioenergi
https://id.kb.se/term/uka/20905,,Pharmaceutical Biotechnology,Läkemedelsbioteknik
https://id.kb.se/term/uka/20906,,Biocatalysis and Enzyme Technology,Biokatalys och enzymteknik
https://id.kb.se/term/uka/20907,,Bioengineering Equipment,Bioteknisk apparatteknik
https://id.kb.se/term/uka/20908,,Medical Biotechnology,Medicinsk bioteknik
https://id.kb.se/term/uka/20999,,Other Industrial Biotechnology,Annan industriell bioteknik
https://id.kb.se/term/uka/210,,Nano-technology,Nanoteknik
https://id.kb.se/term/uka/21001,,Nano-technology,Nanoteknik
https://id.kb.se/term/uka/211,,Other Engineering and Technologies,Annan teknik
https://id.kb.se/term/uka/21101,,Food Engineering,Livsmedelsteknik
https://id.kb.se/term/uka/21102,,Media Engineering,Mediateknik
https://id.kb.se/term/uka/21103,,Interaction Technologies,Interaktionsteknik
https://id.kb.se/term/uka/21199,,Other Engineering and Technologies not elsewhere specified,Övrig annan teknik
https://id.kb.se/term/uka/3,,Medical and Health Sciences,Medicin och hälsovetenskap
https://id.kb.se/term/uka/301,,Basic Medicine,Medicinska och farmaceutiska grundvetenskaper
https://id.kb.se/term/uka/30101,,Pharmaceutical Sciences,Farmaceutiska vetenskaper
https://id.kb.se/term/uka/30102,,Pharmacology and Toxicology,Farmakologi och toxikologi
https://id.kb.se/term/uka/30103,,Medicinal Chemistry,Läkemedelskemi
https://id.kb.se/term/uka/30104,,Social and Clinical Pharmacy,Samhällsfarmaci och klinisk farmaci
https://id.kb.se/term/uka/30105,,Neurosciences,Neurovetenskaper
https://id.kb.se/term/uka/30106,,Physiology,Fysiologi
https://id.kb.se/term/uka/30107,,Medical Genetics,Medicinsk genetik
https://id.kb.se/term/uka/30108,,Cell and Molecular Biology,Cell- och molekylärbiologi
https://id.kb.se/term/uka/30109,,Microbiology in the medical area,Mikrobiologi inom det medicinska området
https://id.kb.se/term/uka/30110,,Immunology in the medical area,Immunologi inom det medicinska området
https://id.kb.se/term/uka/30199,,Other Basic Medicine,Andra medicinska och farmaceutiska grundvetenskaper
https://id.kb.se/term/uka/302,,Clinical Medicine,Klinisk medicin
https://id.kb.se/term/uka/30201,,Anesthesiology and Intensive Care,Anestesi och intensivvård
https://id.kb.se/term/uka/30202,,Hematology,Hematologi
