uri,notation,label_sv,label_en
https://id.kb.se/term/ssif/20104,,Infrastrukturteknik,Infrastructure Engineering
https://id.kb.se/term/ssif/20105,,Transportteknik och logistik,Transport Systems and Logistics
https://id.kb.se/term/ssif/20106,,Geoteknik,Geotechnical Engineering
https://id.kb.se/term/ssif/20107,,Vattenteknik,Water Engineering
https://id.kb.se/term/ssif/20108,,Miljöanalys och bygginformationsteknik,Environmental Analysis and  Construction Information Technology
https://id.kb.se/term/ssif/20199,,Annan samhällsbyggnadsteknik,Other Civil Engineering
https://id.kb.se/term/ssif/202,,Elektroteknik och elektronik,"Electrical Engineering, Electronic Engineering, Information Engineering"
https://id.kb.se/term/ssif/20201,,Robotteknik och automation,Robotics
https://id.kb.se/term/ssif/20202,,Reglerteknik,Control Engineering
https://id.kb.se/term/ssif/20203,,Kommunikationssystem,Communication Systems
https://id.kb.se/term/ssif/20204,,Telekommunikation,Telecommunications
https://id.kb.se/term/ssif/20205,,Signalbehandling,Signal Processing
https://id.kb.se/term/ssif/20206,,Datorsystem,Computer Systems
https://id.kb.se/term/ssif/20207,,Inbäddad systemteknik,Embedded Systems
https://id.kb.se/term/ssif/20299,,Annan elektroteknik och elektronik,"Other Electrical Engineering, Electronic Engineering, Information Engineering"
https://id.kb.se/term/ssif/203,,Maskinteknik,Mechanical Engineering
https://id.kb.se/term/ssif/20301,,Teknisk mekanik,Applied Mechanics
https://id.kb.se/term/ssif/20302,,Rymd- och flygteknik,Aerospace Engineering
https://id.kb.se/term/ssif/20303,,Farkostteknik,Vehicle Engineering
https://id.kb.se/term/ssif/20304,,Energiteknik,Energy Engineering
https://id.kb.se/term/ssif/20305,,Tillförlitlighets- och kvalitetsteknik,Reliability and Maintenance
https://id.kb.se/term/ssif/20306,,Strömningsmekanik och akustik,Fluid Mechanics and Acoustics
https://id.kb.se/term/ssif/20307,,"Produktionsteknik, arbetsvetenskap och ergonomi","Production Engineering, Human Work Science and Ergonomics"
https://id.kb.se/term/ssif/20308,,"Tribologi (ytteknik omfattande friktion, nötning och smörjning)","Tribology (interacting surfaces including Friction, Lubrication and Wear)"
https://id.kb.se/term/ssif/20399,,Annan maskinteknik,Other Mechanical Engineering
https://id.kb.se/term/ssif/204,,Kemiteknik,Chemical Engineering
https://id.kb.se/term/ssif/20401,,Kemiska processer,Chemical Process Engineering
https://id.kb.se/term/ssif/20402,,Korrosionsteknik,Corrosion Engineering
https://id.kb.se/term/ssif/20403,,Polymerteknologi,Polymer Technologies
https://id.kb.se/term/ssif/20404,,Farmaceutisk synteskemi,Pharmaceutical Chemistry
https://id.kb.se/term/ssif/20499,,Annan kemiteknik,Other Chemical Engineering
https://id.kb.se/term/ssif/205,,Materialteknik,Materials Engineering
https://id.kb.se/term/ssif/20501,,Keramteknik,Ceramics
https://id.kb.se/term/ssif/20502,,Kompositmaterial och -teknik,Composite Science and Engineering
https://id.kb.se/term/ssif/20503,,"Pappers-, massa-  och fiberteknik","Paper, Pulp and Fiber Technology"
https://id.kb.se/term/ssif/20504,,"Textil-, gummi- och polymermaterial","Textile, Rubber and Polymeric Materials"
https://id.kb.se/term/ssif/20505,,"Bearbetnings-, yt- och fogningsteknik","Manufacturing, Surface and Joining Technology"
https://id.kb.se/term/ssif/20506,,Metallurgi och metalliska material,Metallurgy and Metallic Materials
https://id.kb.se/term/ssif/20599,,Annan materialteknik,Other Materials Engineering
https://id.kb.se/term/ssif/206,,Medicinteknik,Medical Engineering
https://id.kb.se/term/ssif/20601,,Medicinsk laboratorie- och mätteknik,Medical Laboratory and Measurements Technologies
https://id.kb.se/term/ssif/20602,,Medicinsk material- och protesteknik,Medical Materials
https://id.kb.se/term/ssif/20603,,Medicinsk bildbehandling,Medical Image Processing
https://id.kb.se/term/ssif/20604,,Medicinsk apparatteknik,Medical Equipment Engineering
https://id.kb.se/term/ssif/20605,,Medicinsk ergonomi,Medical Ergonomics
https://id.kb.se/term/ssif/20699,,Annan medicinteknik,Other Medical Engineering
https://id.kb.se/term/ssif/207,,Naturresursteknik,Environmental Engineering
https://id.kb.se/term/ssif/20701,,Geofysisk teknik,Geophysical Engineering
https://id.kb.se/term/ssif/20702,,Energisystem,Energy Systems
https://id.kb.se/term/ssif/20703,,Fjärranalysteknik,Remote Sensing
https://id.kb.se/term/ssif/20704,,Mineral- och gruvteknik,Mineral and Mine Engineering
https://id.kb.se/term/ssif/20705,,Marin teknik,Marine Engineering
https://id.kb.se/term/ssif/20706,,Havs- och vattendragsteknik,Ocean and River Engineering
https://id.kb.se/term/ssif/20707,,Miljöledning,Environmental Management
https://id.kb.se/term/ssif/20799,,Annan naturresursteknik,Other Environmental Engineering
https://id.kb.se/term/ssif/208,,Miljöbioteknik,Environmental Biotechnology
https://id.kb.se/term/ssif/20801,,Biosanering,Bioremediation
https://id.kb.se/term/ssif/20802,,Diagnostisk bioteknologi,Diagnostic Biotechnology
https://id.kb.se/term/ssif/20803,,Vattenbehandling,Water Treatment
https://id.kb.se/term/ssif/20804,,Bioteknisk etik,Bioethics
https://id.kb.se/term/ssif/20899,,Annan miljöbioteknik,Other Environmental Biotechnology
https://id.kb.se/term/ssif/209,,Industriell bioteknik,Industrial Biotechnology
https://id.kb.se/term/ssif/20901,,Bioprocessteknik,Bioprocess Technology
https://id.kb.se/term/ssif/20902,,Biokemikalier,Biochemicals
https://id.kb.se/term/ssif/20903,,Biomaterial,Bio Materials
https://id.kb.se/term/ssif/20904,,Bioenergi,Bioenergy
https://id.kb.se/term/ssif/20905,,Läkemedelsbioteknik,Pharmaceutical Biotechnology
https://id.kb.se/term/ssif/20906,,Biokatalys och enzymteknik,Biocatalysis and Enzyme Technology
https://id.kb.se/term/ssif/20907,,Bioteknisk apparatteknik,Bioengineering Equipment
https://id.kb.se/term/ssif/20908,,Medicinsk bioteknik,Medical Biotechnology
https://id.kb.se/term/ssif/20999,,Annan industriell bioteknik,Other Industrial Biotechnology
https://id.kb.se/term/ssif/210,,Nanoteknik,Nano-technology
https://id.kb.se/term/ssif/21001,,Nanoteknik,Nano-technology
https://id.kb.se/term/ssif/211,,Annan teknik,Other Engineering and Technologies
https://id.kb.se/term/ssif/21101,,Livsmedelsteknik,Food Engineering
https://id.kb.se/term/ssif/21102,,Mediateknik,Media Engineering
https://id.kb.se/term/ssif/21103,,Interaktionsteknik,Interaction Technologies
https://id.kb.se/term/ssif/21199,,Övrig annan teknik,Other Engineering and Technologies not elsewhere specified
https://id.kb.se/term/ssif/3,,Medicin och hälsovetenskap,Medical and Health Sciences
https://id.kb.se/term/ssif/301,,Medicinska och farmaceutiska grundvetenskaper,Basic Medicine
https://id.kb.se/term/ssif/30101,,Farmaceutiska vetenskaper,Pharmaceutical Sciences
https://id.kb.se/term/ssif/30102,,Farmakologi och toxikologi,Pharmacology and Toxicology
https://id.kb.se/term/ssif/30103,,Läkemedelskemi,Medicinal Chemistry
https://id.kb.se/term/ssif/30104,,Samhällsfarmaci och klinisk farmaci,Social and Clinical Pharmacy
https://id.kb.se/term/ssif/30105,,Neurovetenskaper,Neurosciences
https://id.kb.se/term/ssif/30106,,Fysiologi,Physiology
https://id.kb.se/term/ssif/30107,,Medicinsk genetik,Medical Genetics
https://id.kb.se/term/ssif/30108,,Cell- och molekylärbiologi,Cell and Molecular Biology
https://id.kb.se/term/ssif/30109,,Mikrobiologi inom det medicinska området,Microbiology in the medical area
https://id.kb.se/term/ssif/30110,,Immunologi inom det medicinska området,Immunology in the medical area
https://id.kb.se/term/ssif/30199,,Andra medicinska och farmaceutiska grundvetenskaper,Other Basic Medicine
